국가별,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
아시아,,,,,,,,,,,,,,,,,,,,,,,
한국,2173.4,2222.3,1985,2131.4,2287.3,2857.8,2956.6,3134.1,3221.5,3692.2,4091.4,4525.9,4801.2,4946.1,5330.8,5802.8,6304.1,6392.6,6826.3,7013.5,7086.4,7497.6,7980.4
바레인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369,-,-,-,-
브루나이,-,-,-,-,-,-,285.5,277.4,283.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
캄보디아,-,-,-,-,-,-,17.6,-,-,-,-,-,-,-,-,-,-,-,-,30.4,-,-,-
중국,437.8,466.5,381.7,414.4,538.6,571.7,620,655.4,700.1,840.6,914.3,1057.5,1176.5,846.6,884.6,957.6,1014.3,1066.2,1089.2,1150.8,1196.7,1224.8,1307.1
키프로스,-,-,345.6,402.6,434.4,472,609.5,677.8,795.3,916.7,986.9,1029.2,1011.4,1065.8,1077.7,1063.8,1017.5,1036.1,1064.9,1009.1,1050.5,1196.4,1255.9
조지아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566.4,1059.5,1280.5,1306.6,1307.4,1463.8
홍콩,-,-,1062.6,1214.6,1169.8,1372.7,1587.5,2007.1,2163.7,2662.5,2694,2858.6,2681,2784.7,3114.6,3085.4,3191.2,3377.9,3591.2,3565.1,3741.3,3782.3,4026.5
인도,152,-,115.3,-,109.7,-,-,-,-,134.9,-,-,-,-,156.2,-,-,-,-,216,-,-,252.7
인도네시아,-,-,-,-,212.7,199.2,-,-,-,-,-,-,-,89.5,-,-,-,-,-,-,178.9,215.2,216
이란,-,-,-,-,-,-,-,-,-,-,716.4,-,752.5,716.6,743.1,-,697.1,679.4,-,825.3,-,1474.9,-
이라크,-,-,-,-,-,-,-,-,-,-,-,377.5,391.5,415.8,432,441.3,-,-,69.6,65.8,64.8,105.9,111.1
일본,4874.8,4928.9,5135.8,5175,5078,5113.2,4871.5,5094.3,5099.3,5303.9,5333,5325.6,5108.8,5099.2,5103.6,5110.2,5032.9,5147.4,5328.4,5173,5209.4,5304.1,5331.2
요르단,-,-,1838.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252.4,592.4,596,-
카자흐스탄,-,-,-,-,-,-,-,-,-,-,-,406.6,376.5,348.6,370.5,385.9,612.2,737.2,798.7,777.1,693.7,666.1,666.9
쿠웨이트,-,194.7,180.2,167,158.4,159.8,161.9,165.6,169.5,169.1,165.1,188.5,151.7,142.5,136,129.7,131.1,-,620.2,395.8,478.2,501.6,513.9
라오스,-,-,-,-,-,-,15.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
마카오,-,-,-,-,-,261,233.9,319.2,518.2,616.1,556.1,387.9,388.6,569.7,649.8,610.5,736.7,913.3,1031.5,1276.9,2648.3,3227.4,3543.2
말레이시아,90.1,-,154.5,-,276.9,-,295.7,-,502.9,-,370,-,600.1,1067.5,1462.5,1648.9,1790.7,-,2054.2,2308,2396.5,-,-
미얀마,-,7.3,7.4,11,-,12.2,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,-
네팔,-,-,-,-,-,-,60.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
오만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148.8,172.6,132.1,177.9,212.5,239.8,242.4,281.2
파키스탄,-,76.1,-,-,-,-,-,-,-,79.2,-,157,-,157.3,-,143,-,158.1,-,278.9,-,335.6,-
필리핀,-,-,-,-,-,-,53.7,70.6,-,79.9,-,77.8,-,81.2,-,84.1,-,186.9,-,105.7,-,-,-
카타르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,548,-,-,584,-,-,577.3
싱가포르,2503.4,2586.3,2951.8,3185.6,4128.4,4105.9,4414.8,4849.3,5113.3,5576.9,5686.4,5962.8,5829.3,6146.4,6241.9,6405.1,6356.7,6603.1,6632.2,7006.6,6934.9,6802.5,-
스리랑카,187.7,-,-,-,135.1,-,-,-,138.2,-,93.1,-,98.7,-,105.6,-,-,110.1,98.9,106,-,-,-
시리아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,-,-,-
태국,100.4,72.5,-,167.2,-,278.7,-,280.6,-,313.5,-,323.2,-,329,-,538.5,-,790.9,963.9,864.7,1208.5,1350.3,-
터키,304.3,313.2,308.6,322.1,365,353.7,368.3,494.2,505.5,576.4,620.5,713.8,750,809.8,889.6,981.8,1100.1,1173.2,1160.9,1211.8,1254.7,1379.4,-
아랍에미리트,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1980.5,2383.1,-,2378.9
우즈베키스탄,-,-,-,-,662.3,614.6,630.4,588.3,578.4,632.8,565.7,556.9,580.4,573,545,574.8,513.1,507,501.2,497.4,506,495.6,476.2
베트남,-,-,-,-,-,-,114.4,-,-,-,-,-,-,-,-,-,-,679.5,-,678.6,-,707.7,-
북아메리카,,,,,,,,,,,,,,,,,,,,,,,
캐나다,3071.9,3132.9,3171.5,3255.4,3527.5,3708.2,3719.3,3913.5,4098,4250.1,4323.1,4595.4,4715.4,4451.5,4646.3,4780.1,4627.5,4623.1,4541.8,4523.1,4369.6,4325.6,-
그린란드,-,-,-,-,-,536.2,539.7,647.2,701.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
멕시코,213.6,226.4,216.9,224.4,224.8,233.2,306.2,325.5,380.1,414.3,337.2,347.4,339.7,382.1,337.4,344.2,248.1,251.8,260.2,281.3,315.3,-,-
미국,3140.9,3243.4,3408.4,3465.7,3496.4,3567.4,3652.2,3894.9,3789.1,3742.5,3806.3,3781.2,3935.5,4090.3,3885.1,4027.1,3990.6,4090.9,4205.3,4267.8,4247.7,4412.4,-
남아메리카,,,,,,,,,,,,,,,,,,,,,,,
아르헨티나,-,695.6,704.8,713.1,716.6,688.3,692.2,718.5,765.6,819.4,891.8,974.7,1036,1035.6,1123.8,1180.7,1203.4,1198.3,1206.9,1230.5,1259.6,1192.2,-
볼리비아,-,-,72.9,72.7,71.3,122.4,119,-,-,-,-,-,-,143.9,163.8,-,-,-,-,-,-,-,-
브라질,-,-,-,-,295.2,337.4,398.4,423.2,483,509,543.2,555.1,590.7,625.5,686.1,737.7,788.5,838.5,887.7,-,-,-,-
칠레,-,-,-,-,-,-,-,-,-,-,-,335.8,356.7,287.8,318.8,352.7,390.7,335.4,427.1,455,493.5,493.3,-
콜롬비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.4,58.3,69.5,89.4,88,-
코스타리카,-,-,-,-,-,-,-,131.6,108.6,122.9,-,-,261,339.5,381.9,406.2,337.2,355.1,568.5,495.3,525.4,380.4,-
에콰도르,84,78,83.1,-,-,39.8,41.8,48.2,-,-,70.1,64.6,102.6,117.7,140.6,179.5,281.2,350.7,399.5,-,-,-,-
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.2,65.8,63.7,-
과테말라,-,-,-,-,-,-,-,-,-,29.6,24.3,34.1,38.6,38.7,24.8,24.8,26.9,17.4,20.3,22.2,22.1,14.1,-
온두라스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.4,-,34.7,-
니카라과,-,70.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
파나마,111.8,114.5,158.3,96.9,94.4,89.3,94.3,94.7,84.7,103.3,105,165.6,131.7,110.1,-,118.2,37.7,39.1,-,-,-,-,-
파라과이,-,-,-,-,-,88.6,82.2,81.4,86.4,72,-,-,76.6,-,-,50,168.3,-,152.2,182.7,121.1,135.1,-
푸에르토리코,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,274,-,348.4,-,-,-
트리니다드토바고,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,517.3,-
우루과이,-,-,-,218.9,277.6,-,373.4,-,-,-,-,-,427.8,558.6,626.6,614.4,632.4,634.9,642.9,661.5,679,690.8,696.4
베네수엘라,-,-,49.8,56.3,61.8,71.5,70.2,95.9,105.7,122.9,148.1,165.3,190.4,185.8,204,232.6,295.8,363.8,272.7,248.9,300.3,-,-
유럽,,,,,,,,,,,,,,,,,,,,,,,
알바니아,-,-,-,-,-,-,-,-,-,-,-,-,155.5,-,-,-,-,-,-,-,-,-,-
오스트리아,-,-,2327.4,-,-,-,2965.7,-,3158.8,3449.3,3524.1,3810,4136.9,4140.1,4349.7,4390.3,4669.4,4724.7,4947.9,5019.4,5224.4,5387.9,5733.1
벨기에,2461.7,2568.8,2695.2,2899.2,2970.2,3124,2958.8,2967.4,3091.6,3142.7,3284.4,3395,3411.8,3519.9,3732.8,3875.6,4113.3,4155.9,4528.9,4711,4780.5,4729.6,5023.3
보스니아-헤르체고비나,-,-,-,-,-,-,-,61.6,63.4,67.1,178.2,198,-,-,-,-,160.1,233.9,292.4,365.2,420,485.4,471.3
불가리아,1779,1458.9,1471.2,1311.5,1185.2,1162.2,1172.5,1228.7,1268.9,1307.8,1354.5,1478.6,1513,1601.4,1478.7,1613,1540.8,1683.8,1821.9,1977.3,2237.3,2125.2,2342.9
크로아티아,-,-,1054.3,1239.3,1529.3,1510,1950,1335.4,1628.7,1308.1,1322,1405,1538.6,1596.5,1641.3,1587.5,1556.8,1526.7,1437.4,1504.2,1850.5,1868.3,1921.1
체코,1252.4,1216.8,1217.3,1313.3,1346.2,1459.2,1460.6,1544,1591.9,2356.1,2550.6,2691.5,2857,2742.1,2774,2903.7,3139.2,3237.2,3402.8,3592.1,3516.2,3682,3862.7
덴마크,3177.8,3317.9,-,3559.9,-,3630.6,4754.9,4618.9,4843.3,5197.4,5298.5,5516.4,6493.9,6657,6739.2,7017.9,7143.3,7071.1,7310.7,7528.3,7846.7,7925,8065.9
에스토니아,-,-,2117.5,2138.5,1905.5,1926.4,2212.3,2197.5,2470.7,2457.1,2603.5,2744.9,2969.2,3228.7,3060.6,3397.6,3462.9,3341,3284.3,3183.2,3295.1,3542.5,3755.3
페로제도,-,-,-,-,-,-,-,1813.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
핀란드,-,-,-,-,-,-,-,-,7821.9,7526.6,7657.2,7361.5,7684.8,7646.3,7720.2,7421.6,7473.7,7206.5,7009.3,6844.5,6531.5,6721.8,6861.1
프랑스,2668.9,2657.9,2664.5,2732.7,2915.7,2986.9,3117.2,3199.7,3334.2,3313.3,3423.7,3585.8,3659.9,3747.3,3873,3942.4,4073.3,4154.8,4233.6,4307.5,4414.7,4561.1,4715.3
독일,2830.5,2896.7,2920.2,3129.3,3168,3245.8,3260.1,3295.3,3309.6,3335,3434.6,3578.5,3733.3,3922.2,4058,4188.8,4352.3,4366.7,4320.7,4743.8,4861.7,5076.5,5211.9
그리스,-,1005.3,-,1337.3,-,1290.7,-,1393.3,-,1745.5,1779.7,1889.7,-,-,-,2278.5,2300.3,2721.3,2791.9,3256,2769.9,3311.4,3482.7
헝가리,1007.3,1082,1141.2,1227.3,1409.5,1438.8,1471.9,1496.8,1473.5,1574.3,1745,1734.9,1851.9,2014.6,2149.8,2326.2,2416.5,2546.1,2673.4,2589.1,2645.8,2921.5,3237.7
아이슬란드,-,4917,5137.4,5677.1,-,6572.5,-,6657.4,-,7305.3,8006.7,7236,7423.6,7926,-,6981.4,-,5648.4,-,5887.9,-,6130.5,-
아일랜드,1773.8,1930.2,2093.3,2111,2251.1,2329.1,2399.2,2522.3,2713.1,2798,2877.1,2935.4,3284.1,3156.9,3112.6,3325.8,4854,5136.5,5304.5,5270.7,5178.2,5401,5243.1
이탈리아,1339.5,1154.5,1151.8,1149,1166.1,1172.8,1245.9,1221.8,1242.7,1415.4,1510.5,1583,1625.3,1723,1743.3,1781.4,1848.6,1930.7,1956.4,2077.9,2204.1,2313.7,2306.8
라트비아,1145.3,1063.9,1052,1090.5,1599.7,1482.6,1479.5,1389.1,1458.6,1457.4,1768.5,1891.2,2012.7,1688.3,1838.7,1885.3,1886.9,1772.7,1854.3,1808.6,1596.5,1784.6,1792.1
리투아니아,2090,2178.8,2372.9,2419.5,2220.8,2324.7,1836.4,1934.8,2175.6,2283.6,2415.7,2598.1,2624.8,2680.5,2752.7,2721,2634.3,2843.9,3054,2785.6,2950.3,3072,3190.7
룩셈부르크,-,-,-,-,3773.4,-,-,4357,4494.7,4864.1,4411.8,4633.7,4712.8,4826.3,5145,5451.4,4352.2,4614.2,4741.1,4480,4668,4960.2,4941.7
북마케도니아,-,612.1,683.4,669.8,651.2,607,568.1,544.5,519.7,540.2,514.8,502.6,468.2,431.6,532.1,445.2,611.8,675.3,837.6,858.5,854.3,729.4,799.3
몰타,-,-,-,-,-,-,682.2,688.5,1082.4,1183.7,1282.2,1206.3,1321.2,1200.3,1417,1785.9,1986.7,1886.7,1831.7,1891.3,2054.6,2130.5,1946.5
몰도바,-,-,-,-,-,-,-,758.7,756.9,719.5,700.1,725.5,822.1,802.8,760.9,777.3,768.6,737.3,746.8,758.2,725.7,723.9,696.1
모나코,-,-,-,-,-,-,-,-,268.7,295.5,-,-,-,-,-,-,-,-,-,-,-,-,-
네덜란드,2283.3,2430.7,2482,2639.8,2649.3,2846.7,2723.4,2703.9,2971.8,2923.8,3232.9,3093.1,3061.7,2824.3,3219,3664.4,4361.4,4551.9,4512.6,4673.1,4776.8,4887.2,5604.5
노르웨이,-,3956.8,-,4089.2,-,4352.1,-,4495.9,4493.5,4576.6,4831.9,5159.7,5361.1,5443.1,5413.8,5502.5,5553,5573.8,5685.6,5891,6077.6,6350.1,6466.7
폴란드,1362.6,1442.5,1456.8,1463.2,1431,1457.3,1473.8,1524.3,1587.1,1620.1,1553.2,1600.8,1611.3,1593.3,1683.1,1675.1,1752.7,1873.1,2064,2171.6,2320.8,3019.1,3106.1
포르투갈,1245.4,1340.8,1438.9,1536.1,1625.5,1714,1827.8,1940.8,1975.4,2010.4,2338.2,2664.9,3813.8,3756.5,3918.8,4168.3,4037.3,3610.6,3662.4,3729.8,4004.6,4367.7,4537.5
루마니아,1328.7,1255.9,1223.8,1052.7,924.9,897.1,928.3,965.2,985.1,1071.9,895.8,894.2,931.1,933.8,966.2,790.7,890.7,922.7,903.8,876.2,911.6,891.3,882.4
러시아,3797.2,3604.3,3342.1,3383.1,3459,3468.3,3387.7,3371,3315.1,3233.6,3238.1,3274.2,3149.9,3085.7,3081.1,3114.6,3078.4,3052.7,3075.1,3098.1,2952.2,2821.5,2784.3
슬로바키아,1858.9,1853.6,1880.4,1705.2,1843.8,1775,1700.1,1782.8,1985,2022.7,2181.3,2288.4,2331.3,2460.6,2809.4,2833.4,2820.2,2716.4,2715.6,2650.2,2253.3,2416.2,2996
슬로베니아,2257.4,2023.7,2156.1,2227.3,2181.4,2263.2,2335.9,1899,2024.9,2633.1,2924.9,3106.2,3475.9,3661.1,3769.8,4277.3,4317.2,4220.3,4147.1,3814.2,3914.3,4479.4,4854.6
스페인,1293.8,1345.9,1499.2,1521.9,1878,1938.1,1987.6,2172.1,2332,2492.6,2588.9,2699.2,2843.3,2872.3,2869.2,2766,2693.8,2625.7,2613.1,2623.4,2715.5,2855.7,3000.9
스웨덴,-,4158.1,-,4499.1,-,5169.3,-,5383,5426.1,6085.1,6126.6,4999.7,5437.2,5079.7,5251.5,5144.6,5164.1,6674.3,6876,6834,7154.5,7383.4,7536.5
스위스,3140.8,-,-,-,3654.2,-,-,-,3468.2,-,-,-,3298.2,-,-,-,4468.6,-,-,5271.9,-,5450.4,-
우크라이나,-,-,-,-,-,-,-,-,-,-,1475.4,1455.6,1428.3,1345.6,1328,1257.9,1231,1162,1023.9,1006,1037.2,994.1,988.1
영국,2490.6,2497.8,2694.6,2854,2894.5,3080.7,3340.2,3638.1,3824.3,4123.5,4176.3,4111.1,4053.9,4076.6,4043.3,3926.1,3969.9,4119.5,4227.6,4319.5,4357.9,4341.2,4603.3
유로지역,2140.5,2103.5,2186.2,2241.7,2388.2,2411.4,2501.7,2502.5,2731.1,2761.8,2881.5,2995.1,3174,3250.4,3359.6,3397.9,3531.2,3566,3594.4,3760.6,3843.9,4018,4180.1
몬테네그로,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649.8,-,645,671.8,834.6,715.8,702.7,734.3
세르비아,-,-,-,-,-,-,-,-,-,-,-,1195.6,1360.4,1429.4,1514.8,1624,1643.4,1727,1831,2071.2,2132.8,2079.2,2087.2
아프리카,,,,,,,,,,,,,,,,,,,,,,,
알제리,-,-,-,-,-,-,-,-,-,168.7,-,-,-,-,-,-,-,-,-,-,-,819.3,-
앙골라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.5,-,-,-,-,18.8,-,-
보츠와나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172.4,185.2,-,-,-,-,-
부르키나파소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.6,-,-,-,-,-,-,-,-
부룬디,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.9,-,-,-,-,-,23.4
카보베르데,-,-,-,-,-,103.3,135.5,-,-,-,-,-,-,-,-,50.1,-,-,123.5,-,-,-,-
차드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.9,-,-
콩고,51,49.7,40.7,36.3,32.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
콩고민주공화국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.6,-,-,-
코트디부아르,-,-,-,-,-,-,-,-,-,69.1,-,-,-,-,-,-,-,-,-,-,-,-,-
이집트,-,-,-,-,-,-,-,-,-,-,-,631,438.6,433.3,492.4,491.8,517.1,539,675.2,672.9,689.2,677.1,686.7
에티오피아,-,-,-,-,-,-,-,-,-,21.1,-,20,-,-,42.2,-,-,44.7,-,-,-,90.5,-
감비아,-,-,-,-,-,-,-,-,-,-,-,-,91.8,102.9,-,31.7,-,-,-,-,-,-,52.9
가나,-,-,-,-,-,-,-,-,-,-,-,17.1,-,-,38,-,-,-,-,89.1,-,-,-
케냐,-,-,-,-,-,-,-,-,-,-,-,54.4,-,-,221.4,-,-,-,-,-,-,-,-
레소토,-,-,-,-,-,-,5.9,7.4,10,-,-,-,-,23,-,5.9,-,-,-,24.1,-,-,-
마다가스카르,-,-,14.4,14.9,15.2,50.6,47,47.1,47.6,47.9,47.6,48.2,46.5,45.2,52,50.9,-,-,-,-,24.7,30.6,34
말라위,-,-,-,-,-,-,-,-,-,-,-,30.4,-,-,50.4,-,-,-,-,-,-,-,-
