국가별,2000년 평균,2005년 평균,2008년 평균,2009년 평균,2010년 평균,2011년 평균,2012년 평균,2013년 평균,2014년 평균,2015년 평균,2016년 평균,2017년 평균,국가 평균
한국,-,-,-,-,-,-,-,-,-,-,11342.0,11971.333333333334,11656.666666666668
인도,948.6666666666666,-,-,-,-,-,-,-,-,-,-,-,948.6666666666666
이스라엘,7138.0,6396.666666666667,7155.333333333333,6955.333333333333,7221.333333333333,8114.0,8950.333333333334,9722.333333333334,9564.0,8782.0,9561.333333333334,10181.333333333334,8311.833333333334
일본,-,9854.666666666666,-,-,-,-,12575.0,-,-,13102.0,12773.666666666666,12895.666666666666,12240.199999999999
터키,-,-,-,-,-,5605.0,6015.333333333333,6172.333333333333,6515.0,6426.333333333333,6791.333333333333,6189.666666666667,6244.999999999999
캐나다,-,-,-,-,-,-,14997.666666666666,-,-,-,16083.0,16266.666666666666,15782.444444444443
멕시코,2509.3333333333335,3422.0,4027.6666666666665,5837.666666666667,4417.333333333333,4484.666666666667,4626.0,4523.333333333333,4994.0,4846.666666666667,4618.666666666667,4063.6666666666665,4364.249999999999
미국,11685.0,14396.0,16689.666666666668,16872.0,16435.0,16536.666666666668,16987.333333333332,17096.0,17871.666666666668,18392.0,19112.666666666668,20022.0,16841.333333333332
아르헨티나,1580.0,-,3203.3333333333335,3369.0,3534.6666666666665,3875.0,-,-,-,-,-,-,3112.4
칠레,-,3416.3333333333335,4105.666666666667,4214.666666666667,4574.0,5087.333333333333,5808.0,5577.333333333333,5381.0,5081.0,6022.333333333333,6678.666666666667,5086.030303030303
콜롬비아,-,-,-,3050.3333333333335,-,3050.6666666666665,3324.0,4030.0,3041.0,3609.3333333333335,4129.0,3996.3333333333335,3528.833333333333
오스트리아,-,-,-,-,-,-,13493.666666666666,14252.333333333334,14338.0,14915.333333333334,15896.333333333334,16182.666666666666,14846.38888888889
벨기에,-,-,-,-,-,-,12698.0,13226.666666666666,13514.333333333334,13606.333333333334,14365.333333333334,15035.333333333334,13741.0
체코,-,-,-,-,-,-,7580.0,7668.666666666667,7914.333333333333,8245.666666666666,7990.333333333333,9040.333333333334,8073.222222222223
덴마크,-,-,-,-,-,-,-,13119.666666666666,13731.0,-,-,14168.0,13672.888888888889
에스토니아,-,-,-,-,-,-,7119.0,8525.666666666666,8235.666666666666,8713.333333333334,8981.0,9821.666666666666,8566.055555555555
핀란드,-,-,-,-,-,-,12178.0,12310.333333333334,12351.666666666666,12483.333333333334,12728.666666666666,12605.666666666666,12442.944444444445
프랑스,-,8442.333333333334,10185.666666666666,10673.333333333334,10897.0,11099.666666666666,11120.0,11707.333333333334,11838.0,11840.333333333334,12182.0,12673.0,11150.787878787878
독일,-,-,-,-,-,-,11845.666666666666,12086.666666666666,12476.666666666666,12517.666666666666,13171.666666666666,13780.333333333334,12646.444444444443
그리스,-,-,-,-,-,-,5273.333333333333,5443.0,5561.0,5576.0,-,5389.333333333333,5448.533333333333
헝가리,-,-,-,-,-,-,5996.333333333333,6719.333333333333,6164.666666666667,6615.333333333333,8127.0,8412.0,7005.777777777777
아이슬란드,-,-,-,-,-,-,9807.333333333334,10250.333333333334,10875.666666666666,11702.333333333334,12795.333333333334,14241.666666666666,11612.111111111111
아일랜드,-,-,-,-,-,-,11917.0,10683.666666666666,10768.333333333334,11418.0,11543.0,11484.666666666666,11302.444444444445
이탈리아,-,-,-,-,-,-,9056.333333333334,9440.666666666666,9457.333333333334,9642.0,9772.0,10653.333333333334,9670.27777777778
