국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
한국,34956,34675,45046,44178,49068,73512,120790,123705,83523,56732,68843,94720,113467,127330,129786,101873,108875,120662,119012,125661,88821
아르메니아,168,185,151,138,159,126,213,164,127,156,124,112,117,99,108,81,93,74,100,100,130
아제르바이잔,-,168,64,242,214,195,153,227,205,217,126,118,111,78,97,88,131,67,64,102,140
바레인,-,24,24,40,26,-,-,-,-,-,-,-,2,-,-,-,-,-,15,74,29
방글라데시,142,206,257,222,230,182,162,296,165,130,92,85,153,134,121,101,106,144,138,129,160
부탄,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,2
브루나이,21,21,21,43,31,26,41,64,75,42,40,53,86,93,71,-,-,41,-,46,48
캄보디아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,19,23,56,-,25
중국,13058,16296,21257,37154,49360,53305,57786,67948,93706,128389,135110,172113,217105,207688,233228,359316,404208,420144,432147,452804,178606
키프로스,-,-,-,112,120,68,-,-,36,12,19,1,5,1,-,-,-,-,-,1,38
조지아,451,268,255,282,269,320,287,249,319,293,258,237,346,286,209,206,177,206,133,115,258
홍콩,2737,1146,2023,3075,4242,6518,5146,4839,4001,5650,5353,5050,5035,6564,5932,5963,5698,6671,9651,6780,5104
인도,1263,1549,1540,1526,2317,4320,7539,15261,16061,6168,7138,5168,4328,3377,6153,6022,8248,12387,13908,23578,7393
인도네시아,-,-,-,-,-,-,-,-,1811,-,-,-,-,-,-,1911,3005,2309,6374,10514,4321
이란,241,881,642,943,1454,2890,4513,7292,10588,6749,5372,5144,5681,3476,3060,2936,3268,4151,3367,2769,3771
이라크,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312,-,388,426,-,375
이스라엘,2033,1833,1384,1814,2360,2269,2584,2489,1855,2015,2293,5104,3386,3697,3984,4492,4938,-,4107,4197,2991
일본,125880,121742,119192,122522,124192,122944,141399,164954,176950,193349,222693,238323,274791,277079,227142,189358,203087,199577,194525,179910,180980
요르단,71,-,29,47,60,55,60,63,21,51,64,40,48,48,115,83,121,119,167,88,71
카자흐스탄,1417,1280,-,1366,-,-,-,-,171,1687,1868,1887,-,1500,1504,1504,1011,869,778,186,1216
북한,-,-,-,-,-,3583,4150,4301,-,6147,6290,6242,6550,-,-,-,-,-,-,-,5323
키르기스스탄,104,60,65,103,-,-,-,84,123,87,109,-,103,88,100,111,120,78,110,67,94
레바논,-,-,-,-,-,-,-,-,-,-,-,305,317,325,316,279,-,-,-,-,308
마카오,1,-,-,-,-,5,17,63,46,113,156,45,29,22,16,36,57,21,27,20,42
말레이시아,405,1470,1492,1578,2347,2508,6749,6983,2242,3468,2160,2353,2460,2660,2705,2877,3324,5063,4287,4106,3062
몽골,45,176,163,235,165,197,174,-,-,132,96,-,-,212,216,234,157,105,76,177,160
네팔,3,7,4,-,1,3,2,1,-,-,-,2,2,1,-,2,-,-,-,-,3
파키스탄,381,350,422,363,416,393,247,188,233,252,238,469,312,282,185,131,214,169,265,268,289
필리핀,574,1092,1125,1167,1453,1642,1196,1787,838,1679,1153,1135,1111,2207,2159,2200,4006,1645,3435,1458,1653
카타르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,15,26
사우디아라비아,8,10,25,25,174,225,1044,274,205,253,194,252,-,233,561,763,595,501,569,480,336
싱가포르,5090,7220,7340,4417,5976,7530,7393,7478,6286,5609,4442,5949,5633,5575,5538,7054,7341,6217,5172,4188,6072
스리랑카,228,180,113,132,188,180,137,91,159,265,504,272,126,236,-,262,123,178,212,175,198
시리아,82,74,108,57,56,72,72,58,69,49,-,-,-,-,-,14,32,3,37,58,56
타지키스탄,43,33,36,23,21,-,437,-,-,10,3,5,1,2,-,-,-,-,-,1,51
태국,416,796,1102,1028,716,553,1121,948,966,846,772,900,1008,1149,1286,1364,1838,3080,3818,3121,1341
터키,1147,2128,1794,1185,979,823,659,628,549,648,-,893,1004,1211,1276,1723,1764,1900,2882,1941,1323
아랍에미리트,-,-,-,-,-,-,-,-,-,-,-,100,40,63,110,177,222,-,451,1278,305
우즈베키스탄,476,485,525,158,178,407,272,312,288,235,192,179,175,184,179,153,166,205,219,378,268
베트남,727,783,743,774,698,668,669,725,666,706,822,1006,1068,1182,1397,1388,1423,1745,2219,2620,1101
예멘,-,-,-,-,-,-,-,-,-,-,-,-,51,62,20,15,-,28,8,13,28
캐나다,12125,12019,8910,11551,13077,15516,14972,18550,18703,19497,19120,20762,21819,23833,23749,22201,26424,24099,23499,22009,18622
멕시코,5527,5476,6616,6052,6838,8098,9632,9957,10440,9629,9399,11485,12358,10368,9819,9338,8652,8510,8921,8702,8791
미국,157496,166038,163518,169035,164291,143806,173770,157283,157772,167349,219614,224505,253155,277835,300678,298407,303049,318829,307759,354430,223931
앤티가바부다,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,9
아르헨티나,1587,1233,911,1367,840,1798,2922,2769,1214,1354,1366,1291,932,1297,1360,1559,1879,2302,1525,2177,1584
아루바,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
바하마,-,-,-,-,-,-,-,-,-,-,-,-,125,123,238,192,47,20,-,-,124
바베이도스,-,6,8,1,1,7,15,-,-,-,-,6,16,9,3,10,26,-,-,-,9
벨리즈,-,-,-,-,-,-,7,-,-,-,-,2,4,10,28,8,4,4,16,9,9
볼리비아,-,-,-,-,-,-,-,-,-,-,-,-,21,43,97,75,86,63,-,-,64
브라질,-,3589,4623,-,-,2439,2465,1855,2513,2772,3251,3439,2830,2972,2749,3411,4195,5450,9966,10947,4086
칠레,601,406,457,231,351,311,406,583,1398,1797,1020,1013,770,898,1168,1058,2077,1574,1599,1490,960
콜롬비아,595,363,372,291,294,256,223,227,409,-,639,617,1667,2264,1212,1003,917,1164,1271,1630,811
코스타리카,12,28,26,6,14,13,6,13,46,35,34,35,66,100,111,125,68,189,166,191,64
쿠바,-,-,-,-,110,64,73,70,92,140,-,154,84,125,94,-,93,74,93,89,97
도미니카공화국,-,-,-,-,-,-,-,-,94,273,91,71,114,68,129,155,100,127,95,158,123
에콰도르,42,31,21,41,24,38,40,33,64,64,28,-,-,13,20,14,10,17,10,17,29
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,33,48,77,35,40,24,36,117,51
그레나다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,14,-,-,-,12
과테말라,96,22,147,75,124,104,-,110,96,191,104,39,86,65,105,51,52,50,30,50,84
가이아나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,10,21,6,-,10
아이티,-,19,15,10,13,11,30,37,24,24,10,35,-,-,-,-,-,-,-,-,21
온두라스,63,238,47,173,16,85,11,30,31,46,81,151,136,132,94,69,53,54,88,85,84
자메이카,20,69,69,72,-,-,43,-,-,-,-,48,20,42,28,74,5,2,2,1,35
니카라과,136,-,-,-,-,-,-,-,-,-,-,61,68,72,62,-,-,-,-,-,80
파나마,15,-,-,-,91,228,238,231,310,392,378,321,325,266,166,78,13,4,147,133,196
파라과이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
페루,308,537,550,545,505,388,306,327,359,385,365,385,431,287,332,362,403,510,625,713,431
세인트루시아,-,7,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,20
세인트빈센트그레나딘,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,2,6
트리니다드토바고,-,-,17,-,-,-,81,64,90,-,-,-,57,34,39,33,60,66,26,68,53
우루과이,140,-,55,94,86,-,-,-,64,17,29,13,22,-,31,19,-,27,-,-,50
베네수엘라,756,-,781,328,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478
알바니아,6,49,87,201,390,395,116,420,541,402,349,21,-,9,5,10,5,10,12,2,159
안도라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,11,7
오스트리아,1217,1385,1564,1360,961,938,1564,1237,1301,1102,1130,1198,1439,1256,962,1356,1135,1102,1189,1112,1225
벨라루스,537,529,682,1061,861,955,1130,1379,1252,1297,1222,1474,1291,1117,1938,902,949,861,627,461,1026
벨기에,822,839,508,629,715,708,548,519,526,364,532,541,795,745,373,567,1620,1016,1019,998,719
보스니아-헤르체고비나,-,-,-,21,14,46,272,-,127,-,173,115,57,31,5,-,12,4,5,2,63
불가리아,481,425,376,389,299,313,317,264,268,242,251,128,101,125,72,37,42,77,181,195,229
크로아티아,379,221,187,177,135,140,183,147,138,154,82,184,155,159,90,45,35,20,21,20,134
체코,1611,1719,1454,1831,1514,1551,1324,1203,1280,1293,911,687,668,611,688,749,781,669,512,509,1078
덴마크,405,370,465,513,784,389,162,221,225,211,155,110,190,309,292,430,409,419,322,501,344
에스토니아,84,257,349,261,198,163,189,185,172,132,120,129,116,78,38,24,27,15,14,5,128
핀란드,1939,2047,2055,2414,2075,1757,1059,921,997,1055,923,841,836,711,787,931,815,704,533,505,1195
프랑스,11274,11347,9998,11587,11836,11473,13788,12112,10811,10529,9899,10213,12913,11405,11889,12699,12374,11865,12249,13593,11693
독일,14707,14351,14860,17434,16661,17063,21034,17739,17308,14435,13678,11719,11332,13858,15030,14795,15652,15653,16367,18255,15597
그리스,210,246,354,306,354,320,303,368,444,442,479,364,291,282,316,262,271,261,240,248,318
