국가별,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
국가별,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록,특허출원접수,특허등록
아시아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국,102010,34956,104612,34675,106136,45046,118651,44178,140115,49068,160921,73512,166189,120790,172469,123705,170632,83523,163523,56732,170101,68843,178924,94720,188915,113467,204589,127330,210292,129786,213694,101873,208830,108875,204775,120662,209992,119012,218975,125661
아르메니아,127,168,155,185,207,151,157,138,-,159,208,126,193,213,140,164,230,127,127,156,142,124,140,112,141,117,131,99,123,108,115,81,126,93,110,74,105,100,116,100
아제르바이잔,-,-,213,168,241,64,264,242,277,214,287,195,259,153,295,227,233,205,281,217,271,126,205,118,144,111,156,78,168,97,184,88,163,131,226,67,171,64,167,102
바레인,-,-,40,24,59,24,38,40,3,26,-,-,-,-,-,-,-,-,-,-,-,-,140,-,164,2,170,-,205,-,193,-,177,-,245,-,230,15,326,74
방글라데시,318,142,295,206,289,257,318,222,316,230,344,182,310,162,299,296,338,165,330,130,342,92,306,85,354,153,303,134,293,121,340,101,344,106,302,144,368,138,413,129
부탄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,7,-,-,-,8,-,5,-,3,-,10,-,18,1
브루나이,21,21,21,21,21,21,43,43,31,31,26,26,41,41,64,64,75,75,42,42,-,40,-,53,31,86,35,93,117,71,-,-,89,-,107,41,121,-,141,46
캄보디아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,39,-,28,-,26,-,43,-,53,-,75,-,67,-,65,1,80,19,55,23,159,56,-,-
중국,51906,13058,63450,16296,80232,21257,105317,37154,130384,49360,173327,53305,210501,57786,245161,67948,289838,93706,314604,128389,391177,135110,526412,172113,652777,217105,825136,207688,928177,233228,1101864,359316,1338503,404208,1381594,420144,1542002,432147,1400661,452804
키프로스,70,-,48,-,69,-,97,112,94,120,64,68,34,-,19,-,21,36,12,12,8,19,8,1,12,5,3,1,4,-,7,-,4,-,12,-,4,-,5,1
조지아,418,451,475,268,398,255,366,282,457,269,475,320,535,287,564,249,463,319,474,293,362,258,398,237,372,346,333,286,297,209,271,206,274,177,232,206,260,133,197,115
홍콩,8295,2737,8914,1146,9130,2023,9102,3075,10005,4242,11763,6518,13790,5146,13766,4839,13662,4001,11857,5650,11702,5353,13493,5050,12988,5035,13916,6564,12542,5932,12212,5963,14092,5698,13299,6671,15986,9651,16532,6780
인도,8538,1263,10592,1549,11465,1540,12613,1526,17466,2317,24382,4320,28928,7539,35218,15261,36812,16061,34287,6168,39762,7138,42291,5168,43955,4328,43031,3377,42854,6153,45658,6022,45057,8248,46582,12387,50055,13908,53627,23578
인도네시아,3890,-,3926,-,3843,-,3300,-,3668,-,4304,-,4612,-,5134,-,5133,1811,4518,-,5630,-,5830,-,-,-,7450,-,8023,-,9153,1911,9639,3005,9303,2309,9754,6374,11481,10514
이란,616,241,993,881,1195,642,1642,943,2782,1454,4494,2890,6527,4513,11150,7292,15955,10588,12700,6749,11636,5372,12018,5144,11054,5681,11643,3476,13802,3060,14279,2936,15632,3268,16259,4151,12823,3367,12147,2769
이라크,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437,312,-,-,714,388,730,426,-,-
이스라엘,6802,2033,6769,1833,6308,1384,5898,1814,6414,2360,6826,2269,7496,2584,8009,2489,7742,1855,6774,2015,7306,2293,6886,5104,6792,3386,6185,3697,6273,3984,6908,4492,6419,4938,6813,-,7363,4107,7738,4197
일본,419543,125880,440248,121742,421805,119192,413093,122522,423081,124192,427078,122944,408674,141399,396291,164954,391002,176950,348596,193349,344598,222693,342610,238323,342796,274791,328436,277079,325989,227142,318721,189358,318381,203087,318481,199577,313567,194525,307969,179910
요르단,198,71,199,-,138,29,182,47,183,60,218,55,503,60,566,63,585,21,506,51,474,64,400,40,394,48,392,48,379,115,335,83,278,121,200,119,133,167,311,88
카자흐스탄,1515,1417,1706,1280,1697,-,1798,1366,1867,-,1626,-,1557,-,1827,-,1672,171,1827,1687,1964,1868,1732,1887,-,-,2202,1500,2013,1504,1503,1504,1224,1011,1228,869,982,778,-,186
북한,-,-,-,-,-,-,-,-,-,-,5927,3583,6406,4150,6922,4301,-,-,8011,6147,8057,6290,7995,6242,8381,6550,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키르기스스탄,84,104,98,60,128,65,180,103,149,-,131,-,127,-,158,84,138,123,149,87,140,109,129,-,111,103,114,88,139,100,126,111,89,120,146,78,-,110,93,67
레바논,-,-,-,-,-,-,-,-,234,-,246,-,316,-,371,-,345,-,376,-,386,-,282,305,-,317,355,325,341,316,304,279,-,-,-,-,-,-,-,-
마카오,-,1,7,-,12,-,19,-,22,-,122,5,131,17,292,63,211,46,124,113,62,156,60,45,58,29,60,22,106,16,65,36,51,57,68,21,55,27,38,20
말레이시아,6227,405,5934,1470,4937,1492,5062,1578,5442,2347,6286,2508,4800,6749,2372,6983,5303,2242,5737,3468,6383,2160,6452,2353,6940,2460,7205,2660,7620,2705,7727,2877,7236,3324,7072,5063,7295,4287,7551,4106
몽골,-,45,182,176,226,163,253,235,229,165,187,197,213,174,-,-,-,-,143,132,179,96,-,-,-,-,265,212,265,216,237,234,219,157,228,105,161,76,170,177
네팔,-,3,-,7,-,4,-,-,-,1,-,3,-,2,-,1,-,-,-,-,-,-,23,2,17,2,30,1,46,-,82,2,37,-,63,-,-,-,-,-
파키스탄,1195,381,1226,350,1112,422,1127,363,1081,416,1284,393,1738,247,1558,188,1545,233,1212,252,1094,238,953,469,894,312,934,282,922,185,886,131,840,214,698,169,892,265,874,268
필리핀,3636,574,2605,1092,854,1125,1873,1167,2696,1453,2972,1642,3257,1196,3473,1787,3313,838,2997,1679,3393,1153,3196,1135,2994,1111,3285,2207,3589,2159,3734,2200,3419,4006,3395,1645,4300,3435,4380,1458
카타르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,332,-,482,-,-,-,564,-,593,37,-,-,838,15
사우디아라비아,873,8,729,10,613,25,543,25,476,174,493,225,538,1044,770,274,-,205,-,253,931,194,990,252,-,-,931,233,787,561,2406,763,3266,595,3191,501,3399,569,3651,480
싱가포르,8236,5090,8250,7220,8199,7340,7874,4417,8585,5976,8605,7530,9163,7393,9951,7478,9692,6286,8736,5609,9773,4442,9794,5949,9685,5633,9722,5575,10312,5538,10814,7054,10980,7341,10930,6217,11845,5172,14136,4188
스리랑카,321,228,356,180,325,113,284,132,315,188,360,180,423,137,430,91,465,159,402,265,460,504,429,272,539,126,516,236,-,-,481,262,573,123,543,178,603,212,611,175
