국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
한국,102010,104612,106136,118651,140115,160921,166189,172469,170632,163523,170101,178924,188915,204589,210292,213694,208830,204775,209992,218975,170717
아르메니아,127,155,207,157,-,208,193,140,230,127,142,140,141,131,123,115,126,110,105,116,147
아제르바이잔,-,213,241,264,277,287,259,295,233,281,271,205,144,156,168,184,163,226,171,167,221
바레인,-,40,59,38,3,-,-,-,-,-,-,140,164,170,205,193,177,245,230,326,153
방글라데시,318,295,289,318,316,344,310,299,338,330,342,306,354,303,293,340,344,302,368,413,326
부탄,-,-,-,-,-,-,-,-,-,-,-,-,4,7,-,8,5,3,10,18,8
브루나이,21,21,21,43,31,26,41,64,75,42,-,-,31,35,117,-,89,107,121,141,60
캄보디아,-,-,-,-,-,-,-,13,39,28,26,43,53,75,67,65,80,55,159,-,59
중국,51906,63450,80232,105317,130384,173327,210501,245161,289838,314604,391177,526412,652777,825136,928177,1101864,1338503,1381594,1542002,1400661,587651
키프로스,70,48,69,97,94,64,34,19,21,12,8,8,12,3,4,7,4,12,4,5,30
조지아,418,475,398,366,457,475,535,564,463,474,362,398,372,333,297,271,274,232,260,197,381
홍콩,8295,8914,9130,9102,10005,11763,13790,13766,13662,11857,11702,13493,12988,13916,12542,12212,14092,13299,15986,16532,12352
인도,8538,10592,11465,12613,17466,24382,28928,35218,36812,34287,39762,42291,43955,43031,42854,45658,45057,46582,50055,53627,33659
인도네시아,3890,3926,3843,3300,3668,4304,4612,5134,5133,4518,5630,5830,-,7450,8023,9153,9639,9303,9754,11481,6242
이란,616,993,1195,1642,2782,4494,6527,11150,15955,12700,11636,12018,11054,11643,13802,14279,15632,16259,12823,12147,9467
이라크,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437,-,714,730,-,627
이스라엘,6802,6769,6308,5898,6414,6826,7496,8009,7742,6774,7306,6886,6792,6185,6273,6908,6419,6813,7363,7738,6886
일본,419543,440248,421805,413093,423081,427078,408674,396291,391002,348596,344598,342610,342796,328436,325989,318721,318381,318481,313567,307969,367548
요르단,198,199,138,182,183,218,503,566,585,506,474,400,394,392,379,335,278,200,133,311,329
카자흐스탄,1515,1706,1697,1798,1867,1626,1557,1827,1672,1827,1964,1732,-,2202,2013,1503,1224,1228,982,-,1663
북한,-,-,-,-,-,5927,6406,6922,-,8011,8057,7995,8381,-,-,-,-,-,-,-,7386
키르기스스탄,84,98,128,180,149,131,127,158,138,149,140,129,111,114,139,126,89,146,-,93,128
레바논,-,-,-,-,234,246,316,371,345,376,386,282,-,355,341,304,-,-,-,-,323
마카오,-,7,12,19,22,122,131,292,211,124,62,60,58,60,106,65,51,68,55,38,82
말레이시아,6227,5934,4937,5062,5442,6286,4800,2372,5303,5737,6383,6452,6940,7205,7620,7727,7236,7072,7295,7551,6179
몽골,-,182,226,253,229,187,213,-,-,143,179,-,-,265,265,237,219,228,161,170,210
네팔,-,-,-,-,-,-,-,-,-,-,-,23,17,30,46,82,37,63,-,-,43
파키스탄,1195,1226,1112,1127,1081,1284,1738,1558,1545,1212,1094,953,894,934,922,886,840,698,892,874,1103
필리핀,3636,2605,854,1873,2696,2972,3257,3473,3313,2997,3393,3196,2994,3285,3589,3734,3419,3395,4300,4380,3168
카타르,-,-,-,-,-,-,-,-,-,-,-,-,61,332,482,-,564,593,-,838,478
사우디아라비아,873,729,613,543,476,493,538,770,-,-,931,990,-,931,787,2406,3266,3191,3399,3651,1446
싱가포르,8236,8250,8199,7874,8585,8605,9163,9951,9692,8736,9773,9794,9685,9722,10312,10814,10980,10930,11845,14136,9764
스리랑카,321,356,325,284,315,360,423,430,465,402,460,429,539,516,-,481,573,543,603,611,444
시리아,295,228,230,249,245,139,257,-,-,-,-,-,-,-,-,198,112,136,148,153,199
타지키스탄,52,84,39,31,34,36,26,-,-,12,10,5,6,4,-,1,-,-,-,2,24
태국,5049,5332,4489,5131,5373,6340,6261,6818,6741,5857,1937,3924,6746,7404,7930,8167,7820,7865,8149,8172,6275
터키,3433,3212,1838,837,917,1146,1232,2021,2397,2732,3357,4113,4666,4661,5097,5841,6848,8555,7466,8088,3923
아랍에미리트,-,-,-,-,-,-,-,-,-,-,-,1351,1351,1426,1472,1753,1574,1800,1783,1904,1602
우즈베키스탄,968,1246,918,1102,478,444,509,522,448,412,632,556,510,557,568,507,555,553,650,543,634
베트남,1239,1286,1211,1150,1431,1947,2166,2860,3199,2890,3582,3560,3805,3995,4447,5033,5228,5382,6071,7520,3400
예멘,29,24,28,29,37,43,48,35,85,72,75,44,85,80,53,30,32,28,-,75,49
캐나다,39622,39716,39741,37228,38201,39888,42038,40131,42089,37477,35449,35111,35242,34741,35481,36964,34745,35022,36161,36488,37577
멕시코,13061,13565,13062,12207,13198,14435,15505,16599,16581,14281,14576,14055,15314,15444,16135,18071,17413,17184,16424,15941,15153
미국,295895,326471,334445,342441,356943,390733,425966,456154,456321,456106,490226,503582,542815,571612,578802,589410,605571,606956,597141,621453,477452
앤티가바부다,-,-,-,-,-,-,-,-,-,-,-,8,7,7,15,10,12,8,10,-,10
아르헨티나,6636,5779,4861,4557,4602,5269,5617,5743,5582,4976,4717,4821,4813,4772,4682,4125,3809,3443,3667,3702,4809
아루바,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
바하마,-,-,-,-,-,-,-,-,-,-,-,-,86,76,114,70,37,52,-,-,72
바베이도스,-,85,93,123,80,76,44,112,85,79,88,71,36,42,39,45,41,-,-,31,69
벨리즈,-,-,-,-,16,33,42,48,54,-,-,49,51,32,36,26,37,32,24,32,37
볼리비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,-,253,336,-,-,297
브라질,17283,17849,16685,16411,16713,18498,19842,21663,23170,22406,24999,28649,30435,30884,30342,30219,28010,25658,24857,25396,23498
칠레,3120,2750,2538,2405,2867,3007,3215,3806,3952,1717,1076,2792,3019,3072,3105,3274,2907,2894,3100,3237,2893
콜롬비아,1769,497,912,1209,1441,1761,2003,1990,1944,1679,1872,1953,2061,2032,2158,2242,2203,2372,2223,2157,1824
코스타리카,75,212,243,271,320,440,593,667,798,523,614,623,587,598,544,599,506,523,498,499,487
쿠바,-,-,-,-,-,285,257,284,258,231,-,246,178,170,150,-,195,174,155,115,208
도미니카연방,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,4,-,4
도미니카공화국,68,157,183,202,205,225,295,145,53,255,343,333,284,268,260,252,270,271,228,243,227
에콰도르,551,263,114,422,503,591,759,798,849,674,694,-,-,482,382,495,374,417,405,437,512
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,217,183,187,203,175,182,139,148,179
그레나다,-,-,-,-,-,-,-,-,-,-,-,-,26,33,17,9,17,-,-,-,20
과테말라,304,315,301,302,275,405,528,108,311,329,381,331,344,323,298,348,269,278,234,238,311
가이아나,-,-,-,-,-,-,-,-,-,-,-,-,14,16,20,13,18,23,20,-,18
아이티,-,-,-,-,-,-,-,-,-,-,10,14,17,11,21,-,-,-,-,-,15
온두라스,139,162,168,-,-,275,233,127,330,256,307,255,241,217,220,228,195,193,156,187,216
자메이카,101,76,69,50,72,69,153,163,136,127,156,113,107,119,155,70,78,68,79,65,101
니카라과,143,-,-,-,-,-,-,-,-,-,-,210,176,127,146,-,-,-,-,-,160
파나마,160,214,230,260,218,303,440,475,371,370,468,441,234,87,287,403,417,409,497,362,332
파라과이,222,265,182,185,205,265,385,332,278,261,365,-,-,-,-,-,-,-,350,-,275
페루,1078,1010,869,924,823,1020,1271,1359,1535,694,300,1168,1190,1266,1287,1249,1163,1219,1222,1259,1095
세인트루시아,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,-,4
세인트빈센트그레나딘,2,-,-,-,-,-,-,-,-,-,-,-,2,8,8,7,-,3,4,3,5
트리니다드토바고,154,239,223,231,208,206,278,319,281,-,-,-,215,174,188,168,136,171,139,113,203
우루과이,616,595,496,549,551,613,756,774,739,780,784,687,700,-,676,558,-,523,-,-,650
베네수엘라,2348,-,2217,2069,1957,2353,2540,2542,2376,2111,1843,1625,1526,1463,1432,975,595,434,-,-,1789
알바니아,62,120,238,391,416,386,426,366,378,361,341,11,-,4,13,19,25,24,18,5,190
안도라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,11,15,9
오스트리아,2301,2099,2261,2333,2514,2505,2649,2672,2627,2555,2673,2430,2552,2406,2363,2441,2315,2305,2207,2274,2424
벨라루스,1198,1144,1274,1380,1265,1462,1525,1662,1730,1926,1933,1871,1871,1634,757,691,521,524,547,393,1265
벨기에,820,835,748,707,636,622,651,617,708,817,760,763,882,876,1026,1097,1173,1217,1110,1133,860
보스니아-헤르체고비나,273,361,-,274,396,372,217,-,71,-,65,55,16,29,43,-,66,99,96,59,156
불가리아,940,1068,1024,958,396,313,291,239,271,266,260,283,259,297,234,291,241,225,198,193,412
크로아티아,875,961,1031,1086,1224,1012,436,437,401,318,278,251,249,253,200,186,188,159,136,211,495
체코,4939,4752,5557,3579,1252,830,836,908,854,881,982,880,1017,1081,972,952,839,860,732,813,1676
덴마크,1870,1945,1984,1925,2015,1823,1691,1857,1829,1649,1768,1771,1635,1534,1583,1732,1850,1772,1501,1579,1766
에스토니아,804,717,719,602,124,38,45,63,72,96,97,77,25,42,50,36,30,41,30,32,187
핀란드,2903,2660,2369,2187,2220,2059,2018,2015,1946,1933,1833,1774,1827,1737,1545,1416,1368,1529,1487,1396,1911
프랑스,17353,17104,16908,16850,17290,17275,17249,17109,16419,15693,16580,16754,16632,16886,16533,16300,16218,16247,16222,15869,16675
독일,62142,60475,58187,58481,59234,60222,60585,60992,62417,59583,59245,59444,61340,63167,65965,66893,67899,67712,67898,67434,62466
그리스,340,434,412,420,407,482,562,595,658,720,744,741,656,717,670,573,646,589,579,594,577
헝가리,4937,5448,5906,4810,2657,1202,924,791,772,787,696,698,758,708,619,633,665,532,443,450,1722
아이슬란드,876,762,450,805,529,592,371,114,81,86,76,71,44,46,64,46,38,44,66,62,261
