국가별,1981,1982,1983,1984,1985,1986,1987,1988,1989,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
아시아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국,-,-,-,-,-,-,-,-,-,99433,102660,92541,100210,108370,136337,141917,151254,156220,179812,199990,221928,236137,244077,264118,288901,315589,321842,345463,356447,361292,383100,408370,430690
중국,-,-,-,-,-,-,-,-,-,548000,588700,485500,531100,695062,742726,810525,862108,926252,1118698,1223756,1423381,1592420,1152311,1210841,1318086,1404017,1484040,1524280,1619028,1692176,1740442,1866109,2109460
일본,310993,320991,347420,357416,380761,392981,415553,434643,457522,617365,625442,652845,658910,647572,653021,623035,652369,653747,680631,684884,684311,656676,655530,656032,656651,646347,660489,682935,662071,665566,676292,678134,681821
싱가포르,-,-,-,-,-,-,-,-,-,9108,9704,11396,12598,16633,16740,18120,20024,21359,23789,25033,27301,27840,30527,32028,33714,34132,36012,36647,39182,39207,38898,39272,-
대만,-,-,-,-,-,-,-,-,-,45778,47573,53492,54844,55460,59656,69887,75111,81209,88859,95176,103786,110063,119320,128135,134503,139763,140781,142458,144836,147141,149886,153998,159160
터키,-,-,-,-,-,-,-,-,-,18085,18908,18925,20065,23083,22702,23995,32660,33877,39139,42663,49668,52811,57759,64341,72109,82122,89075,89657,95161,100158,111893,126249,135515
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐나다,40420,44200,45690,48820,52520,57320,59350,62360,63860,90490,93180,95214,98648,107900,114510,115960,123230,130380,136700,140660,151330,157200,150220,158660,165100,161600,163180,161982,162960,158980,158890,-,-
멕시코,-,-,-,-,-,-,-,-,-,19894,21417,20832,21879,-,23390,31132,33558,39724,43922,36264,37930,37639,42973,38497,39826,29094,29921,31315,34282,38883,39125,39189,41745
미국,532000,552532,581078,614802,605708,649019,682742,697849,720697,842820,881271,937900,965370,984965,1015318,1049197,1128803,1107758,1104019,1133369,1136653,1194367,1252882,1200535,1254786,1253231,1294690,1340689,1370627,1373551,1435905,1554900,-
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아르헨티나,-,-,-,-,-,-,-,-,-,-,24804,25419,26004,26420,25656,26083,27367,29471,31868,35040,38681,41523,42155,46199,49029,50490,50785,51665,52970,54805,53184,-,-
