국가별,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2009,2009,2009,2009,2009,2009,2012,2012,2012,2012,2012,2012,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2018,2018
국가별,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자
아시아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국,-,-,-,-,519,533,552,528,-,-,525,547,552,543,521,523,539,574,548,544,537,539,523,558,562,544,539,536,525,548,521,528,511,521,498,539,528,524,521,517,503,526
홍콩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,549,547,523,524,513,541,-,-,-,-,-,-
인도네시아,-,-,-,-,360,380,362,358,-,-,369,394,399,382,399,387,384,402,371,372,378,387,383,420,377,373,380,383,382,410,385,387,401,405,386,409,374,383,393,399,358,383
이스라엘,-,-,-,-,444,459,-,-,-,-,-,-,448,436,456,452,417,460,451,443,453,456,452,495,472,461,470,470,463,507,474,466,469,464,467,490,458,467,452,471,445,493
일본,-,-,-,-,507,537,539,530,-,-,487,509,533,513,533,530,483,513,534,524,534,545,501,540,545,527,552,541,527,551,539,525,545,532,509,523,532,522,531,528,493,514
마카오,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540,548,525,532,493,525,-,-,-,-,-,-
싱가포르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564,564,559,552,525,546,-,-,-,-,-,-
대만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,545,539,535,530,485,510,-,-,-,-,-,-
터키,-,-,-,-,-,-,430,415,-,-,426,459,427,421,418,430,427,471,451,440,448,460,443,486,452,444,458,469,453,499,423,418,422,429,414,442,456,451,465,472,453,478
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐나다,-,-,-,-,519,551,541,530,-,-,514,546,534,520,536,532,511,543,533,521,531,526,507,542,523,513,527,524,506,541,520,511,528,527,514,540,514,510,516,520,506,535
멕시코,-,-,-,-,411,432,391,380,-,-,389,410,410,401,413,406,393,427,425,412,419,413,413,438,420,406,418,412,411,435,412,404,420,412,416,431,415,403,424,415,415,426
미국,-,-,-,-,490,518,486,480,-,-,479,511,479,470,489,489,-,-,497,477,509,495,488,513,484,479,497,498,482,513,474,465,500,493,487,507,482,474,503,502,494,517
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브라질,-,-,-,-,388,404,365,348,-,-,384,419,380,361,395,386,376,408,394,379,407,404,397,425,401,383,406,404,394,425,385,370,403,399,395,419,388,379,403,404,400,426
칠레,-,-,-,-,396,421,-,-,-,-,-,-,424,396,448,426,434,451,431,410,452,443,439,461,436,411,448,442,430,452,432,413,454,440,453,465,421,414,445,442,442,462
