국가별,2003년 평균,2006년 평균,2009년 평균,2012년 평균,2015년 평균,2018년 평균,국가 평균
한국,538.0,542.0,541.5,542.3333333333334,519.6666666666666,519.8333333333334,533.8888888888889
홍콩,-,-,-,-,532.8333333333334,-,532.8333333333334
인도네시아,370.75,392.1666666666667,385.1666666666667,384.1666666666667,395.5,381.6666666666667,384.9027777777778
이스라엘,-,444.8333333333333,458.3333333333333,473.8333333333333,471.6666666666667,464.3333333333333,462.6
일본,516.25,517.5,529.6666666666666,540.5,528.8333333333334,520.0,525.4583333333334
마카오,-,-,-,-,527.1666666666666,-,527.1666666666666
싱가포르,-,-,-,-,551.6666666666666,-,551.6666666666666
대만,-,-,-,-,524.0,-,524.0
터키,432.5,432.3333333333333,454.6666666666667,462.5,424.6666666666667,462.5,444.8611111111111
캐나다,532.75,529.3333333333334,526.6666666666666,522.3333333333334,523.3333333333334,516.8333333333334,525.2083333333334
멕시코,392.5,408.3333333333333,420.0,417.0,415.8333333333333,416.3333333333333,411.6666666666667
미국,489.0,481.75,496.5,492.1666666666667,487.6666666666667,495.3333333333333,490.4027777777778
브라질,379.0,384.3333333333333,401.0,402.1666666666667,395.1666666666667,400.0,393.61111111111114
칠레,-,429.8333333333333,439.3333333333333,436.5,442.8333333333333,437.6666666666667,437.2333333333333
콜롬비아,-,-,-,-,410.0,405.5,407.75
코스타리카,-,-,-,-,-,414.8333333333333,414.8333333333333
페루,-,-,-,-,393.6666666666667,-,393.6666666666667
오스트리아,498.0,502.3333333333333,-,500.1666666666667,492.1666666666667,491.1666666666667,496.7666666666667
벨기에,518.25,511.0,509.3333333333333,509.5,502.6666666666667,499.8333333333333,508.4305555555555
체코,502.5,502.5,491.0,500.3333333333333,491.0,495.6666666666667,497.1666666666666
덴마크,503.25,501.0,499.0,498.3333333333333,504.3333333333333,501.0,501.15277777777777
에스토니아,-,515.6666666666666,513.8333333333334,526.0,524.3333333333334,525.6666666666666,521.1
핀란드,543.75,552.8333333333334,543.3333333333334,529.6666666666666,523.1666666666666,516.5,534.875
프랑스,503.0,492.8333333333333,496.8333333333333,499.6666666666667,495.8333333333333,493.6666666666667,496.9722222222222
독일,497.75,505.0,510.3333333333333,515.1666666666666,508.1666666666667,500.5,506.15277777777777
그리스,458.5,464.3333333333333,472.8333333333333,465.5,458.8333333333333,453.6666666666667,462.27777777777777
헝가리,486.25,492.6666666666667,495.6666666666667,486.6666666666667,474.3333333333333,479.5,485.84722222222223
아이슬란드,504.25,493.6666666666667,500.6666666666667,484.6666666666667,480.8333333333333,481.3333333333333,490.9027777777778
아일랜드,509.0,509.0,496.8333333333333,515.6666666666666,509.0,504.6666666666667,507.3611111111111
이탈리아,470.5,468.5,486.1666666666667,489.6666666666667,485.1666666666667,477.0,479.5
라트비아,-,-,-,-,486.8333333333333,487.3333333333333,487.0833333333333
리투아니아,-,-,-,-,-,479.8333333333333,479.8333333333333
룩셈부르크,486.5,485.3333333333333,481.6666666666667,489.5,483.3333333333333,477.0,483.8888888888889
네덜란드,525.5,520.6666666666666,518.6666666666666,518.8333333333334,508.0,502.5,515.6944444444445
노르웨이,497.5,487.1666666666667,500.3333333333333,496.0,504.6666666666667,497.0,497.1111111111111
폴란드,493.25,500.3333333333333,501.1666666666667,520.5,503.8333333333333,512.6666666666666,505.2916666666667
포르투갈,471.5,470.8333333333333,489.6666666666667,488.0,497.1666666666667,492.0,484.8611111111111
러시아,455.0,-,468.6666666666667,481.1666666666667,491.6666666666667,481.1666666666667,475.5333333333334
슬로바키아,483.75,482.3333333333333,488.1666666666667,472.0,462.8333333333333,469.3333333333333,476.4027777777778
슬로베니아,-,505.8333333333333,499.0,499.1666666666667,509.6666666666667,504.0,503.5333333333334
스페인,483.0,476.5,484.5,489.6666666666667,491.3333333333333,482.25,484.5416666666667
스웨덴,511.75,504.6666666666667,495.6666666666667,482.3333333333333,496.0,502.6666666666667,498.84722222222223
스위스,513.0,513.5,516.8333333333334,518.1666666666666,506.1666666666667,498.3333333333333,511.0
영국,-,501.8333333333333,500.1666666666667,502.6666666666667,500.0,503.5,501.6333333333334
오스트레일리아,525.0,520.1666666666666,518.6666666666666,512.6666666666666,502.3333333333333,499.0,512.9722222222222
뉴질랜드,522.5,524.1666666666666,524.1666666666666,509.1666666666667,506.0,502.8333333333333,514.8055555555555
